,Survived,Pclass_1,Pclass_2,Pclass_3,Sex_1,Sex_2,Age,SibSp,Parch,Fare,Cabin_1,Cabin_2,Cabin_3,Cabin_4,Cabin_5,Cabin_6,Cabin_7,Cabin_8,Embarked_1,Embarked_2,Embarked_3,Embarked_4
0,0.0,1,0,0,1,0,-0.04751970918326276,0.1,0.0,0.00725,0,0,0,0,0,0,0,1,1,0,0,0
1,1.0,0,1,0,0,1,0.04895308180559155,0.1,0.0,0.0712833,0,0,0,0,0,0,1,0,0,1,0,0
2,1.0,1,0,0,0,1,-0.023401511436049183,0.0,0.0,0.007925,0,0,0,0,0,0,0,1,1,0,0,0
3,1.0,0,1,0,0,1,0.03086443349518136,0.1,0.0,0.0531,0,0,0,0,0,0,1,1,1,0,0,0
4,0.0,1,0,0,1,0,0.03086443349518136,0.0,0.0,0.00805,0,0,0,0,0,0,0,1,1,0,0,0
5,0.0,1,0,0,1,0,1.713701020890822e-16,0.0,0.0,0.0084583,0,0,0,0,0,0,0,1,0,0,1,0
6,0.0,0,1,0,1,0,0.14542587279444585,0.0,0.0,0.0518625,0,0,0,0,0,1,0,0,1,0,0,0
7,0.0,1,0,0,1,0,-0.16811069791933064,0.3,0.1,0.021075,0,0,0,0,0,0,0,1,1,0,0,0
8,1.0,1,0,0,0,1,-0.01737196199924579,0.0,0.2,0.0111333,0,0,0,0,0,0,0,1,1,0,0,0
9,1.0,0,0,1,0,1,-0.09575610467768991,0.1,0.0,0.030070799999999998,0,0,0,0,0,0,0,1,0,1,0,0
10,1.0,1,0,0,0,1,-0.15605159904572385,0.1,0.1,0.0167,0,0,0,0,0,1,0,1,1,0,0,0
11,1.0,0,1,0,0,1,0.16954407054165943,0.0,0.0,0.02655,0,0,0,0,0,1,1,0,1,0,0,0
12,0.0,1,0,0,1,0,-0.05957880805686955,0.0,0.0,0.00805,0,0,0,0,0,0,0,1,1,0,0,0
13,0.0,1,0,0,1,0,0.05498263124239494,0.1,0.5,0.031275,0,0,0,0,0,0,0,1,1,0,0,0
14,0.0,1,0,0,0,1,-0.09575610467768991,0.0,0.0,0.0078542,0,0,0,0,0,0,0,1,1,0,0,0
15,1.0,0,0,1,0,1,0.15145542223124925,0.0,0.0,0.016,0,0,0,0,0,0,0,1,1,0,0,0
16,0.0,1,0,0,1,0,-0.16811069791933064,0.4,0.1,0.029125,0,0,0,0,0,0,0,1,0,0,1,0
17,1.0,0,0,1,1,0,1.713701020890822e-16,0.0,0.0,0.013,0,0,0,0,0,0,0,1,1,0,0,0
18,0.0,1,0,0,0,1,0.006746235747967787,0.1,0.0,0.018,0,0,0,0,0,0,0,1,1,0,0,0
19,1.0,1,0,0,0,1,1.713701020890822e-16,0.0,0.0,0.007225,0,0,0,0,0,0,0,1,0,1,0,0
20,0.0,0,0,1,1,0,0.03086443349518136,0.0,0.0,0.026,0,0,0,0,0,0,0,1,1,0,0,0
21,1.0,0,0,1,1,0,0.02483488405837797,0.0,0.0,0.013,0,0,0,0,0,1,1,1,1,0,0,0
22,1.0,1,0,0,0,1,-0.08972655524088652,0.0,0.0,0.0080292,0,0,0,0,0,0,0,1,0,0,1,0
23,1.0,0,1,0,1,0,-0.011342412562442394,0.0,0.0,0.0355,0,0,0,0,1,0,0,0,1,0,0,0
24,0.0,1,0,0,0,1,-0.13193340129851028,0.3,0.1,0.021075,0,0,0,0,0,0,0,1,1,0,0,0
25,1.0,1,0,0,0,1,0.04895308180559155,0.1,0.5,0.0313875,0,0,0,0,0,0,0,1,1,0,0,0
26,0.0,1,0,0,1,0,1.713701020890822e-16,0.0,0.0,0.007225,0,0,0,0,0,0,0,1,0,1,0,0
27,0.0,0,1,0,1,0,-0.06560835749367294,0.3,0.2,0.263,0,0,0,0,1,0,0,1,1,0,0,0
28,1.0,1,0,0,0,1,1.713701020890822e-16,0.0,0.0,0.0078792,0,0,0,0,0,0,0,1,0,0,1,0
29,0.0,1,0,0,1,0,1.713701020890822e-16,0.0,0.0,0.0078958,0,0,0,0,0,0,0,1,1,0,0,0
30,0.0,0,1,0,1,0,0.061012180679198336,0.0,0.0,0.0277208,0,0,0,0,0,0,0,1,0,1,0,0
31,1.0,0,1,0,0,1,1.713701020890822e-16,0.1,0.0,0.1465208,0,0,0,0,1,0,1,0,0,1,0,0
32,1.0,1,0,0,0,1,1.713701020890822e-16,0.0,0.0,0.00775,0,0,0,0,0,0,0,1,0,0,1,0
33,0.0,0,0,1,1,0,0.21778046603608656,0.0,0.0,0.0105,0,0,0,0,0,0,0,1,1,0,0,0
34,0.0,0,1,0,1,0,-0.011342412562442394,0.1,0.0,0.0821708,0,0,0,0,0,0,0,1,0,1,0,0
35,0.0,0,1,0,1,0,0.07307127955280512,0.1,0.0,0.052,0,0,0,0,0,0,0,1,1,0,0,0
36,1.0,1,0,0,1,0,1.713701020890822e-16,0.0,0.0,0.0072292,0,0,0,0,0,0,0,1,0,1,0,0
37,0.0,1,0,0,1,0,-0.053549258620066154,0.0,0.0,0.00805,0,0,0,0,0,0,0,1,1,0,0,0
38,0.0,1,0,0,0,1,-0.07163790693047634,0.2,0.0,0.018,0,0,0,0,0,0,0,1,1,0,0,0
39,1.0,1,0,0,0,1,-0.09575610467768991,0.1,0.0,0.0112417,0,0,0,0,0,0,0,1,0,1,0,0
40,0.0,1,0,0,0,1,0.061012180679198336,0.1,0.0,0.009474999999999999,0,0,0,0,0,0,0,1,1,0,0,0
41,0.0,0,0,1,0,1,-0.01737196199924579,0.1,0.0,0.021,0,0,0,0,0,0,0,1,1,0,0,0
42,0.0,1,0,0,1,0,1.713701020890822e-16,0.0,0.0,0.0078958,0,0,0,0,0,0,0,1,0,1,0,0
43,1.0,0,0,1,0,1,-0.16208114848252725,0.1,0.2,0.0415792,0,0,0,0,0,0,0,1,0,1,0,0
44,1.0,1,0,0,0,1,-0.06560835749367294,0.0,0.0,0.0078792,0,0,0,0,0,0,0,1,0,0,1,0
45,0.0,1,0,0,1,0,1.713701020890822e-16,0.0,0.0,0.00805,0,0,0,0,0,0,0,1,1,0,0,0
46,0.0,1,0,0,1,0,1.713701020890822e-16,0.1,0.0,0.0155,0,0,0,0,0,0,0,1,0,0,1,0
47,1.0,1,0,0,0,1,1.713701020890822e-16,0.0,0.0,0.00775,0,0,0,0,0,0,0,1,0,0,1,0
48,0.0,1,0,0,1,0,1.713701020890822e-16,0.2,0.0,0.021679200000000003,0,0,0,0,0,0,0,1,0,1,0,0
49,0.0,1,0,0,0,1,-0.07163790693047634,0.1,0.0,0.0178,0,0,0,0,0,0,0,1,1,0,0,0
